Episode Num,Series Num,Category
1,1,Sales
2,1,Product Development
3,1,Procurement / Scavenger Hunt
4,1,Store/Production-line
5,1,High-end Sales
6,1,Marketing / Advertising
7,1,Fundraising
8,1,Food Manufacturing and Sales
9,1,General Business
10,1,TV Selling
11,1,Interviews
12,1,Final Task
1,2,Market Sales
2,2,Product Development
3,2,Procurement / Scavenger Hunt
4,2,Food Manufacturing and Sales
5,2,Marketing / Advertising
6,2,Sales
7,2,Store/Production-line
8,2,Event / Trade Sales
9,2,High-end Sales
10,2,Tourism and hosting
11,2,Interviews
12,2,Final Task
1,3,Store/Production-line
2,3,Product Development
3,3,Store/Production-line
4,3,Food Manufacturing and Sales
5,3,High-end Sales
6,3,Event / Trade Sales
7,3,Procurement / Scavenger Hunt
8,3,Marketing / Advertising
9,3,General Business
10,3,TV Selling
11,3,Interviews
12,3,Final Task
1,4,Market Sales
2,4,Store/Production-line
3,4,Store/Production-line
4,4,Store/Production-line
5,4,Food Manufacturing and Sales
6,4,Product Development
7,4,Procurement / Scavenger Hunt
8,4,Event / Trade Sales
9,4,Marketing / Advertising
10,4,High-end Sales
11,4,Interviews
12,4,Final Task
1,5,Store/Production-line
2,5,Store/Production-line
3,5,Product Development
4,5,Product Development
5,5,Marketing / Advertising
6,5,Market Sales
7,5,Event / Trade Sales
8,5,Marketing / Advertising
9,5,Event / Trade Sales
10,5,TV Selling
11,5,Interviews
12,5,Final Task
1,6,Food Manufacturing and Sales
2,6,Product Development
3,6,Food Manufacturing and Sales
4,6,Event / Trade Sales
5,6,High-end Sales
6,6,Marketing / Advertising
7,6,Store/Production-line
8,6,Food Manufacturing and Sales
9,6,Procurement / Scavenger Hunt
10,6,Tourism and hosting
11,6,Interviews
12,6,Final Task
1,7,Food Manufacturing and Sales
2,7,Product Development
3,7,Procurement / Scavenger Hunt
4,7,Store/Production-line
5,7,Product Development
6,7,General Business
7,7,Product Development
8,7,Event / Trade Sales
9,7,General Business
10,7,Sales
11,7,General Business
12,7,Interviews
